"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order","practice_rating","sentence_num","rating","Experiment"
"20527","
        <p style=""font-size:20px;""> Welcome! Thank you for your interest in our study. </p>
        <p style=""font-size:20px;""> This study is being conducted by researchers at Bowdoin College.</p>
        <p style=""font-size:20px;""> In this experiment, you will be asked to rate the accuracy of English and Spanish translations.</p>
        <p style=""font-size:20px;""> The entire experiment should not last more than 20 minutes. You will be paid $3 USD for your participation. </p>
        <p style=""font-size:20px;""> Please click <a href = ""https://drive.google.com/file/d/1L92a02eEKCpaAEipmqDcBCDR7rsarqFE/view?usp=sharing"" target = ""_blank"">here</a> to read the full consent form. </p>
        <p style=""font-size:20px;""> If you agree to participate, please click the button below to continue to experiment instructions.</p>
        ","0","consent","18785","html-button-response","0","20533","0.0-0.0","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","","","","",""
"9812","","{""ID"":""613ecc6237e3e4dd76a14605""}","ID","18785","survey-text","1","30351","0.0-1.0","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","","","","",""
"17449","
        <p style=""font-size:20px;""> You are about to begin the practice test. </p>
        <p style=""font-size:20px;""> On each trial, you will see a sentence in English and its corresponding Spanish translation. </p>
        <p style=""font-size:20px;""> You will rate the accuracy of the translation on a scale from ""Not at all accurate"" to ""Very accurate."" </p>
        <p style=""font-size:20px;""> If you rate the translation as ""Somewhat innaccurate"" or ""Not at all accurate,"" you will be asked to provide your own translation or a reason why the translation is inaccurate. </p>
        <p style=""font-size:20px;""> Click the button below to continue to the practice session.</p>","0","instructions","18785","html-button-response","2","47801","0.0-2.0","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","","","","",""
"14465","You see how a duck is playing with a pumpkin <br> T&uacute ves como un pato est&aacute jugando con una calabaza","{""Q0"":4}","practice","18785","survey-likert","3","62270","0.0-3.0-0.0","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","4","","",""
"12065","You see how a tiger is playing with a goose <br> T&uacute ves como un le&oacuten come una pizza","{""Q0"":0}","practice","18785","survey-likert","4","74339","0.0-3.0-0.1","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","0","","",""
"41772","You see how a tiger is playing with a goose <br> T&uacute ves como un le&oacuten come una pizza","{""Q0"":""se usan palabras incorrectas en la traducción""}","practice_low_rate","18785","survey-text","5","116119","0.0-3.0-1.1-0.1","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","","","5","",""
"8704","You see how a teacher is drawing a picture <br> T&uacute ves como un maestro pinta una foto","{""Q0"":4}","practice","18785","survey-likert","6","124825","0.0-3.0-0.2","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","4","","",""
"5274","You see how an artist is running <br> T&uacute ves como un artista est&aacute corriendo","{""Q0"":4}","practice","18785","survey-likert","7","130105","0.0-3.0-0.3","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","4","","",""
"9734","You drop a bowling ball on a mircrowave <br> T&uacute tiras una bola de boliche a un horno","{""Q0"":3}","practice","18785","survey-likert","8","139845","0.0-3.0-0.4","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","3","","",""
"9975","You drop a rock on a phone <br> T&uacute tiras una piedra a un tel&eacutefono","{""Q0"":3}","practice","18785","survey-likert","9","149824","0.0-3.0-0.5","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","3","","",""
"3119","<p style=""font-size:20px;"">You have now completed the practice session! </p>
        <p style=""font-size:20px;"">You will now move on to the main experiment. </p>
        <p style=""font-size:20px;"">Please click the button below to continue. </p>","0","movetoexp","18785","html-button-response","10","152949","0.0-4.0","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","","","","",""
"13650","You see how a mouse is eating cheese <br> T&uacute ves como el rat&oacuten est&aacute comiendo queso","{""Q0"":4}","trial","18785","survey-likert","11","166602","0.0-5.0-0.0","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","","56","4",""
"5258","You drop a bowling ball on a wine glass <br> T&uacute tiras una bola de boliche a una copa de vino","{""Q0"":4}","trial","18785","survey-likert","12","171871","0.0-5.0-0.1","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","","5","4",""
"9887","You drop a needle on the mouse pad <br> T&uacute tiras una aguja a la alfombrilla para el rat&oacuten","{""Q0"":4}","trial","18785","survey-likert","13","181769","0.0-5.0-0.2","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","","42","4",""
"6893","You see how an owl is sitting on the branch <br> T&uacute ves como un b&uacuteho est&aacute reposando en una rama","{""Q0"":4}","trial","18785","survey-likert","14","188671","0.0-5.0-0.3","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","","69","4",""
"18331","You see how a dentist is drinking a can of cola <br> T&uacute ves como un dentista est&aacute bebiendo una lata de cola","{""Q0"":4}","trial","18785","survey-likert","15","207008","0.0-5.0-0.4","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","","47","4",""
"33684","You drop a bowling ball on a paper cup <br> T&uacute tiras una bola de boliche a un vaso de papel","{""Q0"":4}","trial","18785","survey-likert","16","240699","0.0-5.0-0.5","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","","24","4",""
"6626","You drop a bowling ball on a strawberry <br> T&uacute tiras una bola de boliche a una fresa","{""Q0"":3}","trial","18785","survey-likert","17","247331","0.0-5.0-0.6","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","","20","3",""
"6767","You see how a zebra is playing with a horse <br> T&uacute ves como una cebra est&aacute jugando con un caballo","{""Q0"":4}","trial","18785","survey-likert","18","254103","0.0-5.0-0.7","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","","66","4",""
"20012","You see how an old man is hammering a nail <br> T&uacute ves como un hombre anciano est&aacute martillando un clavo","{""Q0"":4}","trial","18785","survey-likert","19","274120","0.0-5.0-0.8","23","1","2022-11-29 21:24:51","2df368f4e41f066fd1c82c297b4a1108","187.188.73.75","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36","Macintosh","Chrome","107.0.0.0","OS X","10_15_7","[0]","","29","4",""
